Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2004-09-01,,,,,,,,,,,,890.0,,,,6.0,,,78.0,,,,,,,,,,,,23.0,,239.0,40.0,,92.0,,,
2004-09-02,,,,,,,,,,,,912.0,,,,7.0,,,328.0,,,,,,,,,,,,33.0,,16.0,30.0,,9.0,,,
2004-09-03,,,,,,,,,,,,370.0,,,,10.0,,,325.0,,,,,,,,,,,,27.0,,5.0,5.0,,3.0,,,
2004-09-06,,,,,,,,,,,,,,,,24.0,,,9.0,,,,,,,,,,,,8.0,,,183.0,,,,,
2004-09-07,,,,,,,,,,,,666.0,,,,277.0,,,0.0,,,,,,,,,,,,0.0,,275.0,0.0,,22.0,,,
2004-09-08,,,,,,,,,,,,718.0,,,,60.0,,,7.0,,,,,,,,,,,,35.0,,0.0,26.0,,27.0,,,
2004-09-09,,,,,,,,,,,,603.0,,,,20.0,,,129.0,,,,,,,,,,,,15.0,,0.0,89.0,,1.0,,,
2004-09-10,,,,,,,,,,,,309.0,,,,94.0,,,47.0,,,,,,,,,,,,2.0,,6.0,180.0,,49.0,,,
2004-09-13,,,,,,,,,,,,166.0,,,,41.0,,,0.0,,,,,,,,,,,,0.0,,30.0,24.0,,6.0,,,
2004-09-14,,,,0.0,,,,,,,,207.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,6.0,,,
2004-09-15,,,,0.0,,,,,,,,165.0,,,,,,,,,,,,,,,,,,10.0,52.0,,13.0,,,5.0,,,
2004-09-16,,,,0.0,,,,,,,,760.0,,,,0.0,,,22.0,,,,,,,,,,,0.0,27.0,,68.0,103.0,,11.0,,,
2004-09-17,,,,0.0,,,,,,,,827.0,,,,15.0,,,0.0,,,,,,,,,,,0.0,13.0,,0.0,0.0,,0.0,,,
2004-09-20,,,,0.0,,,,,,,,844.0,,,,4.0,,,40.0,,,,,,,,,,,0.0,14.0,,0.0,0.0,,11.0,,0.0,
2004-09-21,,,,0.0,,,,,,,,704.0,,,,0.0,,,0.0,,,,,,,,,,,30.0,30.0,,4.0,47.0,,11.0,,0.0,
2004-09-22,,,,0.0,,,,,,,,562.0,,,,1.0,,,8.0,,,,,,,,,,,0.0,30.0,,114.0,438.0,,354.0,,0.0,
2004-09-23,,,,0.0,,,,,,,,721.0,,,,29.0,,,16.0,,,,,,,,,,,10.0,42.0,,127.0,491.0,,257.0,,0.0,
2004-09-24,,,,0.0,,,,,,,,760.0,,,,38.0,,,0.0,,,,,,,,,,,0.0,28.0,,3.0,4.0,,396.0,,0.0,
2004-09-27,,,,0.0,,,,,,,,731.0,,,,3.0,,,25.0,,,,,,,,,,,10.0,42.0,,64.0,590.0,,111.0,,0.0,
2004-09-28,,,,0.0,,,,,,,,573.0,,,,7.0,,,27.0,,,,,,,,,,,10.0,0.0,,29.0,520.0,,292.0,,0.0,
2004-09-29,,,,0.0,,,,,,,,820.0,,,,58.0,,,129.0,,,,,,,,,,,0.0,31.0,,0.0,378.0,,98.0,,0.0,
2004-09-30,,,,0.0,,,,,,,,572.0,,,,0.0,,,306.0,,,,,,,,,,,10.0,27.0,,21.0,1.0,,62.0,,0.0,
2004-10-01,,,,0.0,,,,,,,,541.0,,,,13.0,,,59.0,,,,,,,,,,,0.0,64.0,,0.0,118.0,,606.0,,0.0,
2004-10-04,,,,0.0,,,,,,,,253.0,,,,68.0,,,394.0,,,,,,,,,,,10.0,42.0,,0.0,523.0,,487.0,,0.0,
