Contract,Sector,Code
Nasdaq,Equities,CHRIS/CME_NQ1
S&P MidCap 400,Equities,CHRIS/CME_MD1
Russell 2000,Equities,CHRIS/ICE_TF1
S&P / TSX 60,Equities,CHRIS/MX_SXF1
EuroStoxx 50,Equities,CHRIS/EUREX_FESX1
TecDAX,Equities,CHRIS/EUREX_FTDX1
Vstoxx,Volatility ,CHRIS/EUREX_FVS1
DAX,Equities,CHRIS/EUREX_FDAX1
VIX Futures,Volatility,CHRIS/CBOE_VX1
CAC 40 ,Equities,CHRIS/LIFFE_FCE1
FTSE 100,Equities,CHRIS/LIFFE_Z1
Nikkei 225,Equities,CHRIS/SGX_NK1
SMI,Equities,CHRIS/EUREX_FSMI1
Ibovespa,Equities,CHRIS/CME_IBV1
S&P 500,Equities,CHRIS/CME_ES1
Dow Jones,Equities,CHRIS/CME_DJ1
Milk,Commodities,CHRIS/CME_DK1
Amsterdam Exchange,Equities,CHRIS/LIFFE_FTI1
Newcastle Coal,Commodities,CHRIS/ICE_NCF1
Taiwan (SIMEX),Equities,CHRIS/SGX_TW1
Nifty (SIMEX),Equities,CHRIS/SGX_IN1
Hang Seng,Equities,CHRIS/HKEX_HSI1
Richards Bay Coal,Commodities,CHRIS/ICE_AFR1
Rotterdam Coal,Commodities,CHRIS/ICE_ATW1
Brent Crude,Commodities,CHRIS/ICE_B1
Cocoa,Commodities,CHRIS/ICE_CC1
Cotton,Commodities,CHRIS/ICE_CT1
Gas Oil,Commodities,CHRIS/ICE_G1
UK Natural Gas,Commodities,CHRIS/ICE_M1
RBOB Gasoline,Commodities,CHRIS/ICE_N1
Heating Oil,Commodities,CHRIS/ICE_O1
Orange Juice,Commodities,CHRIS/ICE_OJ1
Canola,Commodities,CHRIS/ICE_RS1
Sugar,Commodities,CHRIS/ICE_SB1
WTI Crude,Commodities,CHRIS/ICE_T1
Milling Wheat,Commodities,CHRIS/ICE_WA1
BEL 20,Equities,CHRIS/LIFFE_BXF1
Short Sterling,Interest Rates,CHRIS/LIFFE_L1
Portugal,Equities,CHRIS/LIFFE_PSI1
Gilts,Bonds,CHRIS/LIFFE_R1
Robusta Coffee,Commodities,CHRIS/LIFFE_RC1
EuroSwiss,Interest Rates,CHRIS/LIFFE_S1
White Sugar,Commodities,CHRIS/LIFFE_W1
Canadian Bankers Acceptance,Interest Rates,CHRIS/MX_BAX1
Canadian 10 Year,Bonds,CHRIS/MX_CGB1
Singapore 180,Commodities,CHRIS/SGX_1MF1
Singapore 380,Commodities,CHRIS/SGX_3MF1
Termal Coal,Commodities,CHRIS/SGX_CFF1
FTSE A50 Index,Equities,CHRIS/SGX_CN1
Shanghai  Rebar,Commodities,CHRIS/SHFE_RB1
Euroyen,Interest Rates,CHRIS/TFX_JBA1
Australia SPI 200,Equities,CHRIS/ASX_AP1
NZ Bank Bills,Interest Rates,CHRIS/ASX_BB1
Australia Accepted Bills,Interest Rates,CHRIS/ASX_IR1
European 3.5% Fuel Oil Barges,Commodities,CHRIS/CME_BOB1
Ethanol,Commodities,CHRIS/CME_711
Soybean Oil,Commodities,CHRIS/CME_BO1
GBP/USD,Currencies,CHRIS/CME_BP1
BRL/USD,Currencies,CHRIS/CME_BR1
Corn,Commodities,CHRIS/CME_C1
Butter,Commodities,CHRIS/CME_CB1
CAD/USD,Currencies,CHRIS/CME_CD1
Crude,Commodities,CHRIS/CME_CL1
Cheese,Commodities,CHRIS/CME_CSC1
Ethanol (Chicago),Commodities,CHRIS/CME_CU1
Milk Class 3,Commodities,CHRIS/CME_DA1
Eurodollar,Interest Rates,CHRIS/CME_ED1
Ethanol (Chicago2),Commodities,CHRIS/CME_EH1
Feeder Cattle,Commodities,CHRIS/CME_FC1
Federal Funds,Interest Rates,CHRIS/CME_FF1
US Treasuries 5 Yr,Bonds,CHRIS/CME_FV1
Gold,Commodities,CHRIS/CME_GC1
Commodities Index,Commodities,CHRIS/CME_GI1
Copper,Commodities,CHRIS/CME_HG1
Natural Gas,Commodities,CHRIS/CME_HH1
Live Cattle,Commodities,CHRIS/CME_LC1
Lumber,Commodities,CHRIS/CME_LB1
Learn Hog,Commodities,CHRIS/CME_LN1
AP14 Richards Bay,Commodities,CHRIS/CME_MFF1
API2 Coal,Commodities,CHRIS/CME_MTF1
New Zealand Dollar,Currencies,CHRIS/CME_NE1
Natural Gas (HH),Commodities,CHRIS/CME_NG1
Oats,Commodities,CHRIS/CME_O1
Palladium,Commodities,CHRIS/CME_PA1
Platinum,Commodities,CHRIS/CME_PL1
RBOB Gasoline,Commodities,CHRIS/CME_RB1
Rough Rice,Commodities,CHRIS/CME_RR1
Russian Ruble,Currencies,CHRIS/CME_RU1
Soybean,Commodities,CHRIS/CME_S1
Silver,Commodities,CHRIS/CME_SI1
Soybean Meal,Commodities,CHRIS/CME_SM1
API 8 South China Coal,Commodities,CHRIS/CME_SSI1
US Treasuries 2 Yr,Bonds,CHRIS/CME_TU1
US Treasuries 10 Yr,Bonds,CHRIS/CME_TY1
Wheat,Commodities,CHRIS/CME_W1
Italian 10 year bonds,Bonds,CHRIS/EUREX_FBTP1
Italian 2 year bonds,Bonds,CHRIS/EUREX_FBTS1
OMX ,Equities,CHRIS/EUREX_FFOX1
German Bund,Bonds,CHRIS/EUREX_FGBL1
German Bobl,Bonds,CHRIS/EUREX_FGBM1
German Schatz,Bonds,CHRIS/EUREX_FGBS1
German Buxl,Bonds,CHRIS/EUREX_FGBX1
French 10 year,Bonds,CHRIS/EUREX_FOAT1
