DATE,TWD,GBP,LKR,DKK,CAD,JPY,MYR,SEK,SGD,HKD,AUD,CHF,KRW,CNY,VEF,NZD,THB,EUR,NOK,INR,MXN,BRL,ZAR
1983-10-03,39.42,1.4835,24.4,9.474,1.2325,234.15,2.347,7.813,2.137,8.7,0.8979,2.113,790.95,1.9703,,0.6582,22.99,,7.33,10.2,,,1.1084
1983-10-04,39.42,1.475,24.4,9.5,1.2327,234.1,2.347,7.815,2.138,8.52,0.8997,2.1175,790.95,1.9703,,0.6567,22.99,,7.345,10.22,,,1.1217
1983-10-05,39.42,1.489,24.4,9.396,1.2313,232.9,2.346,7.777,2.136,8.67,0.9052,2.1015,790.95,1.9703,,0.6586,22.99,,7.294,10.2,,,1.1173
1983-10-06,39.42,1.4903,24.4,9.326,1.2304,232.4,2.343,7.76,2.133,8.54,0.9129,2.0945,790.95,1.9605,,0.6517,22.99,,7.283,10.2,,,1.1148
1983-10-07,39.42,1.509,24.39,9.29,1.2299,230.85,2.3435,7.715,2.134,8.45,0.9142,2.087,790.95,1.9605,,0.664,22.99,,7.2625,10.21,,,1.1167
1983-10-11,39.42,1.508,24.39,9.355,1.232,232.05,2.344,7.745,2.135,8.27,0.9156,2.1035,790.95,1.9527,,0.6646,22.99,,7.2875,10.19,,,1.1124
1983-10-12,39.42,1.504,24.39,9.439,1.233,234.28,2.346,7.805,2.136,8.26,0.912,2.123,790.95,1.9527,,0.6619,22.99,,7.325,10.2,,,1.1179
1983-10-13,39.42,1.4995,24.39,9.415,1.2326,233.15,2.3445,7.7875,2.1345,8.23,0.9112,2.1155,790.95,1.9624,,0.6625,22.99,,7.308,10.21,,,1.1192
1983-10-14,39.42,1.4994,24.405,9.495,1.2329,232.8,2.346,7.83,2.1365,8.17,0.9113,2.121,790.95,1.9624,,0.662,22.99,,7.36,10.21,,,1.1211
1983-10-17,39.42,1.5005,24.405,9.421,1.232,232.95,2.3435,7.795,2.1345,8.0,0.9172,2.1103,791.05,1.9624,,0.6635,22.99,,7.3125,10.2,,,1.1167
1983-10-18,39.42,1.5005,24.405,9.36,1.2313,232.3,2.346,7.765,2.1325,7.87,0.9171,2.098,791.05,1.9624,,0.6638,22.99,,7.285,10.21,,,1.1192
1983-10-19,39.42,1.5003,24.405,9.3975,1.2313,232.65,2.344,7.761,2.133,7.84,0.9166,2.0995,791.05,1.9624,,0.6626,22.99,,7.3,10.2,,,1.1221
1983-10-20,39.42,1.4978,24.405,9.3925,1.2315,232.5,2.3435,7.768,2.1335,7.78,0.9165,2.104,791.15,1.9624,,0.6628,22.99,,7.3125,10.22,,,1.1293
1983-10-21,39.42,1.5018,24.4125,9.365,1.2312,232.38,2.343,7.756,2.133,7.79,0.9216,2.101,791.15,1.9722,,0.664,22.99,,7.304,10.24,,,1.1293
1983-10-24,39.42,1.4975,24.4125,9.445,1.2326,233.5,2.3455,7.795,2.136,7.8,0.919,2.1208,791.15,1.9722,,0.6629,22.99,,7.3465,10.25,,,1.1319
1983-10-25,39.42,1.4997,24.4125,9.413,1.2325,232.45,2.345,7.773,2.1345,7.8,0.9193,2.1145,792.15,1.9722,,0.6635,22.99,,7.338,10.27,,,1.1297
1983-10-26,39.42,1.498,24.4125,9.453,1.2326,232.95,2.346,7.796,2.136,7.8,0.9175,2.123,792.15,1.9722,,0.6625,22.99,,7.367,10.29,,,1.1293
1983-10-27,39.42,1.4942,24.4125,9.455,1.2325,232.6,2.3465,7.801,2.1365,7.8,0.9178,2.1245,792.25,1.9722,,0.6625,22.99,,7.366,10.29,,,1.1448
1983-10-28,39.42,1.495,24.48,9.465,1.2325,232.7,2.3445,7.805,2.135,7.8025,0.9186,2.1295,792.65,1.9722,,0.6627,22.99,,7.375,10.28,,,1.1447
1983-10-31,39.42,1.4952,24.48,9.4865,1.2326,234.05,2.347,7.8255,2.136,7.8025,0.9135,2.143,793.05,1.984,,0.6615,22.99,,7.386,10.29,,,1.1744
1983-11-01,39.42,1.4855,24.48,9.575,1.2333,234.77,2.347,7.8725,2.137,7.8065,0.9133,2.1615,794.05,1.994,,0.6603,22.99,,7.4225,10.3,,,1.173
1983-11-02,39.42,1.4871,24.48,9.5345,1.233,234.45,2.3465,7.84,2.1365,7.805,0.9135,2.1505,794.75,1.994,,0.6595,22.99,,7.4025,10.31,,,1.1765
1983-11-03,39.42,1.487,24.48,9.5775,1.2332,234.35,2.3455,7.86,2.1345,7.7975,0.9149,2.158,795.25,1.994,,0.6607,22.99,,7.42,10.31,,,1.1588
1983-11-04,38.66,1.488,24.5,9.6075,1.2344,236.65,2.3465,7.895,2.136,7.802,0.911,2.17,795.25,1.994,,0.6582,22.99,,7.445,10.31,,,1.1765
1983-11-07,38.66,1.4855,24.5,9.65,1.2355,237.0,2.348,7.893,2.136,7.8075,0.9108,2.177,795.25,1.994,,0.6576,22.99,,7.464,10.32,,,1.173
1983-11-09,38.66,1.4845,24.5,9.6275,1.2355,235.4,2.3465,7.8925,2.1345,7.8175,0.9125,2.1675,796.75,1.994,,0.659,22.99,,7.445,10.36,,,1.1737
1983-11-10,38.66,1.491,24.55,9.58,1.2347,234.45,2.3465,7.875,2.134,7.82,0.9169,2.152,796.75,1.994,,0.6602,22.99,,7.418,10.34,,,1.1703
1983-11-14,38.66,1.484,24.55,9.6375,1.2357,234.65,2.343,7.888,2.131,7.8175,0.9186,2.163,796.75,1.994,,0.6606,22.99,,7.44,10.36,,,1.171
1983-11-15,38.66,1.4851,24.55,9.635,1.2365,234.45,2.342,7.897,2.131,7.8175,0.9215,2.1634,796.75,1.994,,0.6607,22.99,,7.45,10.38,,,1.1806
1983-11-16,38.66,1.483,24.55,9.6725,1.2367,235.4,2.342,7.9325,2.131,7.8125,0.9196,2.1665,796.75,1.994,,0.6597,22.99,,7.4775,10.38,,,1.1806
1983-11-17,38.66,1.4783,24.55,9.7325,1.2375,236.25,2.343,7.9525,2.1325,7.815,0.917,2.183,796.75,1.994,,0.6586,22.99,,7.4975,10.4,,,1.1955
1983-11-18,38.66,1.4695,24.55,9.7425,1.2381,235.95,2.344,7.955,2.1325,7.8175,0.9178,2.1865,796.75,1.994,,0.6577,22.99,,7.5025,10.41,,,1.1933
1983-11-21,38.66,1.465,24.66,9.7475,1.2382,235.2,2.345,7.945,2.1335,7.817,0.9189,2.183,796.75,1.994,,0.6571,22.99,,7.485,10.45,,,1.2095
1983-11-22,38.66,1.474,24.66,9.7025,1.2367,234.5,2.345,7.94,2.1325,7.8175,0.9209,2.1695,796.75,1.994,,0.6585,22.99,,7.485,10.41,,,1.2048
1983-11-23,38.66,1.4675,24.66,9.729,1.2377,235.05,2.345,7.9425,2.132,7.817,0.9205,2.179,796.75,1.994,,0.6584,22.99,,7.49,10.4,,,1.2077
1983-11-25,38.66,1.4595,24.66,9.7925,1.2401,235.1,2.3457,7.985,2.1333,7.815,0.9152,2.1815,796.75,1.994,,0.6555,22.99,,7.529,10.43,,,1.2173
1983-11-28,38.66,1.4587,24.66,9.7975,1.2402,234.85,2.3445,7.975,2.133,7.808,0.9135,2.177,796.75,1.994,,0.6564,22.99,,7.525,10.45,,,1.2019
1983-11-29,38.66,1.46,24.66,9.805,1.2406,234.6,2.3455,7.9825,2.1315,7.81,0.9114,2.1815,797.25,1.994,,0.6555,22.99,,7.526,10.45,,,1.2048
1983-11-30,38.66,1.463,24.66,9.7575,1.2392,232.5,2.344,7.96,2.1325,7.8085,0.9147,2.1615,797.25,1.994,,0.658,22.99,,7.4975,10.42,,,1.1919
1983-12-01,38.66,1.4578,24.66,9.764,1.24,232.53,2.3415,7.958,2.13,7.8085,0.93,2.163,797.25,1.986,,0.662,22.99,,7.4955,10.41,,,1.199
1983-12-02,38.66,1.4572,23.69,9.7725,1.2444,233.4,2.3418,7.9925,2.1295,7.8135,0.917,2.174,797.25,1.986,,0.658,22.99,,7.525,10.41,,,1.2005
1983-12-05,38.66,1.4455,24.69,9.908,1.2457,235.2,2.3418,8.027,2.131,7.814,0.9084,2.19,797.25,1.986,,0.6536,22.99,,7.5975,10.44,,,1.2136
1983-12-06,38.66,1.4505,24.69,9.87,1.2438,234.3,2.343,8.0075,2.1315,7.8135,0.9085,2.1865,798.25,1.9939,,0.6543,22.99,,7.585,10.46,,,1.2129
1983-12-07,38.66,1.439,24.69,9.9075,1.2445,234.05,2.343,8.0175,2.132,7.8145,0.9077,2.1905,798.25,1.9939,,0.6542,22.99,,7.63,10.47,,,1.211
1983-12-08,38.66,1.4415,24.69,9.903,1.2449,234.3,2.343,8.004,2.131,7.814,0.8985,2.194,798.25,1.9939,,0.6525,22.99,,7.705,10.46,,,1.2154
1983-12-09,38.66,1.435,24.79,9.9625,1.2492,236.9,2.344,8.0475,2.134,7.817,0.909,2.2115,798.45,1.9939,,0.65,22.99,,7.745,10.45,,,1.2203
1983-12-12,38.66,1.4307,24.79,9.99,1.2481,236.65,2.344,8.067,2.135,7.8205,0.91,2.212,798.45,1.9939,,0.6515,22.99,,7.7575,10.44,,,1.2136
1983-12-13,40.2,1.4165,24.79,10.0325,1.2507,236.25,2.343,8.1175,2.1385,7.815,0.9015,2.22,799.75,1.9939,,0.6495,22.99,,7.8,10.44,,,1.2136
1983-12-14,40.2,1.415,24.79,10.015,1.2508,235.08,2.341,8.114,2.1335,7.8185,0.892,2.2125,799.75,1.9939,,0.6475,22.99,,7.79,10.46,,,1.2136
1983-12-15,40.2,1.4215,24.79,10.002,1.2493,234.9,2.3405,8.122,2.134,7.818,0.898,2.2135,799.95,1.9939,,0.6485,22.99,,7.805,10.48,,,1.221
1983-12-16,40.2,1.415,24.79,10.0475,1.2511,235.5,2.3425,8.1475,2.138,7.8205,0.893,2.216,799.95,1.9939,,0.6475,22.99,,7.805,10.52,,,1.2262
1983-12-19,40.2,1.4182,24.79,10.045,1.2501,236.1,2.3405,8.133,2.134,7.813,0.879,2.2115,799.95,1.9939,,0.6447,22.99,,7.8125,10.52,,,1.2271
1983-12-20,40.2,1.419,24.79,10.0175,1.2488,234.8,2.337,8.108,2.131,7.784,0.8775,2.208,800.15,1.9939,,0.6455,22.99,,7.797,10.55,,,1.224
1983-12-21,40.2,1.4225,24.79,10.024,1.2491,234.7,2.3355,8.103,2.131,7.785,0.886,2.2105,800.15,1.9939,,0.6468,22.99,,7.805,10.55,,,1.2255
1983-12-22,40.2,1.427,24.79,10.025,1.2477,234.05,2.338,8.091,2.129,7.792,0.9015,2.2115,800.15,1.9939,,0.6505,22.99,,7.8,10.53,,,1.224
