Date,t30ret
31/01/90,0.005852
28/02/90,0.005818
30/03/90,0.00638
30/04/90,0.006829
31/05/90,0.006404
29/06/90,0.005898
31/07/90,0.006704
31/08/90,0.006154
28/09/90,0.005984
31/10/90,0.006559
30/11/90,0.005651
31/12/90,0.005989
31/01/91,0.004637
28/02/91,0.004767
28/03/91,0.004391
30/04/91,0.005335
31/05/91,0.004461
28/06/91,0.004171
31/07/91,0.00484
30/08/91,0.00461
30/09/91,0.004558
31/10/91,0.004246
29/11/91,0.003915
31/12/91,0.003792
31/01/92,0.003059
28/02/92,0.002828
31/03/92,0.003376
30/04/92,0.003303
29/05/92,0.002758
30/06/92,0.003201
31/07/92,0.002892
31/08/92,0.002605
30/09/92,0.002573
30/10/92,0.002286
30/11/92,0.002346
31/12/92,0.00227
29/01/93,0.002335
26/02/93,0.002209
31/03/93,0.002538
30/04/93,0.002372
28/05/93,0.002168
30/06/93,0.002756
30/07/93,0.002402
31/08/93,0.00253
30/09/93,0.002356
29/10/93,0.00221
30/11/93,0.002477
31/12/93,0.002263
31/01/94,0.002503
28/02/94,0.00212
31/03/94,0.002469
29/04/94,0.002711
31/05/94,0.00315
30/06/94,0.003118
29/07/94,0.002751
31/08/94,0.003687
30/09/94,0.003659
31/10/94,0.00384
30/11/94,0.003691
30/12/94,0.00443
31/01/95,0.004156
28/02/95,0.003983
31/03/95,0.004134
28/04/95,0.00445
31/05/95,0.005355
30/06/95,0.004714
31/07/95,0.004522
31/08/95,0.004637
29/09/95,0.004309
31/10/95,0.004714
30/11/95,0.004108
29/12/95,0.004882
31/01/96,0.004278
29/02/96,0.003908
29/03/96,0.003943
30/04/96,0.004579
31/05/96,0.003982
28/06/96,0.004
31/07/96,0.004497
30/08/96,0.004122
30/09/96,0.004375
31/10/96,0.004246
29/11/96,0.003941
31/12/96,0.004404
31/01/97,0.004014
28/02/97,0.003788
31/03/97,0.00431
30/04/97,0.004313
30/05/97,0.004263
30/06/97,0.003744
31/07/97,0.004294
29/08/97,0.004058
30/09/97,0.004576
31/10/97,0.003911
28/11/97,0.003773
31/12/97,0.004629
30/01/98,0.004204
27/02/98,0.003847
31/03/98,0.004485
30/04/98,0.004308
29/05/98,0.003805
30/06/98,0.004021
31/07/98,0.003873
31/08/98,0.004012
30/09/98,0.003875
30/10/98,0.003353
30/11/98,0.003233
31/12/98,0.003779
29/01/99,0.003494
26/02/99,0.003372
31/03/99,0.004076
30/04/99,0.003784
28/05/99,0.003463
30/06/99,0.004098
30/07/99,0.003658
31/08/99,0.003876
30/09/99,0.003705
29/10/99,0.003581
30/11/99,0.003811
31/12/99,0.003764
31/01/00,0.004343
29/02/00,0.004295
31/03/00,0.004377
28/04/00,0.004595
31/05/00,0.004782
30/06/00,0.003744
31/07/00,0.004772
31/08/00,0.005002
29/09/00,0.005093
31/10/00,0.005217
30/11/00,0.004966
29/12/00,0.004909
31/01/01,0.005243
28/02/01,0.003653
30/03/01,0.00432
30/04/01,0.003864
31/05/01,0.003183
29/06/01,0.002778
31/07/01,0.002999
31/08/01,0.002996
28/09/01,0.00273
31/10/01,0.002154
30/11/01,0.001749
31/12/01,0.001484
31/01/02,0.00139
28/02/02,0.001285
28/03/02,0.001341
30/04/02,0.001546
31/05/02,0.001442
28/06/02,0.001312
31/07/02,0.001507
30/08/02,0.001402
30/09/02,0.001414
31/10/02,0.001334
29/11/02,0.001166
31/12/02,0.001079
31/01/03,0.000934
28/02/03,0.000871
31/03/03,0.00102
30/04/03,0.000939
30/05/03,0.000903
30/06/03,0.000984
31/07/03,0.000674
29/08/03,0.000689
30/09/03,0.000865
31/10/03,0.0007
28/11/03,0.000725
31/12/03,0.000831
30/01/04,0.000696
27/02/04,0.000623
31/03/04,0.000844
30/04/04,0.000795
28/05/04,0.000603
30/06/04,0.000817
30/07/04,0.000919
31/08/04,0.001116
30/09/04,0.001185
29/10/04,0.001129
30/11/04,0.001541
31/12/04,0.001672
31/01/05,0.001661
28/02/05,0.001641
31/03/05,0.002123
29/04/05,0.002072
31/05/05,0.002395
30/06/05,0.002263
29/07/05,0.002383
31/08/05,0.00292
30/09/05,0.002848
31/10/05,0.002728
30/11/05,0.003045
