HTR1.Low,HTR1.High,HTR2.Low,HTR2.High,KJ.High,KJ.Low
1,3,1,3,1,71
2,15,2,15,2,72
4,16,4,16,3,73
5,17,5,17,4,74
6,18,6,18,5,75
7,33,7,19,6,76
8,45,8,20,7,77
9,46,9,32,8,100
10,70,10,33,9,101
11,89,11,34,10,102
12,90,12,35,11,103
13,91,13,36,12,104
14,92,14,43,13,105
19,100,21,44,14,106
20,101,22,45,15,107
21,118,23,46,16,108
22,119,24,47,17,109
23,120,25,48,18,110
24,124,26,54,19,111
25,130,27,55,20,112
26,131,28,56,21,113
27,134,29,67,22,114
28,135,30,68,23,115
29,136,31,69,24,116
30,137,37,70,25,117
31,145,38,71,26,118
32,146,39,72,27,119
34,147,40,73,28,120
35,152,41,74,29,121
36,153,42,75,30,122
37,154,49,76,31,123
38,155,50,77,32,124
39,201,51,89,33,125
40,202,52,90,34,126
41,220,53,91,35,127
42,221,57,92,36,128
43,222,58,97,37,129
44,223,59,98,38,130
47,224,60,99,39,131
48,225,61,100,40,132
49,226,62,101,41,133
50,227,63,102,42,134
51,228,64,103,43,135
52,229,65,104,44,136
53,230,66,105,45,137
54,231,78,106,46,138
55,232,79,107,47,139
56,233,80,108,48,140
57,234,81,109,49,141
58,235,82,110,50,142
59,236,83,111,51,146
60,237,84,112,52,147
61,238,85,113,53,148
62,239,86,114,54,149
63,240,87,115,55,150
64,241,88,116,56,151
65,242,93,117,57,152
66,243,94,118,58,157
67,254,95,119,59,158
68,255,96,120,60,159
69,258,137,121,61,160
71,NA,138,122,62,161
72,NA,139,123,63,162
73,NA,140,124,64,163
74,NA,141,125,65,164
75,NA,142,126,66,165
76,NA,143,127,67,166
77,NA,144,128,68,167
78,NA,148,129,69,222
79,NA,149,130,70,223
80,NA,150,131,78,224
81,NA,151,132,79,225
82,NA,152,133,80,226
83,NA,153,134,81,227
84,NA,154,135,82,228
85,NA,155,136,83,229
86,NA,156,145,84,230
87,NA,157,146,85,231
88,NA,158,147,86,232
93,NA,159,207,87,233
94,NA,160,208,88,234
95,NA,161,209,89,241
96,NA,162,219,90,242
97,NA,163,220,91,243
98,NA,164,221,92,256
99,NA,165,222,93,257
102,NA,166,223,94,258
103,NA,167,224,95,NA
104,NA,168,254,96,NA
105,NA,169,255,97,NA
106,NA,170,256,98,NA
107,NA,171,257,99,NA
108,NA,172,NA,143,NA
109,NA,173,NA,144,NA
110,NA,174,NA,145,NA
111,NA,175,NA,153,NA
112,NA,176,NA,154,NA
113,NA,177,NA,155,NA
114,NA,178,NA,156,NA
115,NA,179,NA,168,NA
116,NA,180,NA,169,NA
117,NA,181,NA,170,NA
121,NA,182,NA,171,NA
122,NA,183,NA,172,NA
123,NA,184,NA,173,NA
125,NA,185,NA,174,NA
126,NA,186,NA,175,NA
127,NA,187,NA,176,NA
128,NA,188,NA,177,NA
129,NA,189,NA,178,NA
132,NA,190,NA,179,NA
133,NA,191,NA,180,NA
138,NA,192,NA,181,NA
139,NA,193,NA,182,NA
140,NA,194,NA,183,NA
141,NA,195,NA,184,NA
142,NA,196,NA,185,NA
143,NA,197,NA,186,NA
144,NA,198,NA,187,NA
148,NA,199,NA,188,NA
149,NA,200,NA,189,NA
150,NA,201,NA,190,NA
151,NA,202,NA,191,NA
156,NA,203,NA,192,NA
157,NA,204,NA,193,NA
158,NA,205,NA,194,NA
159,NA,206,NA,195,NA
160,NA,210,NA,196,NA
161,NA,211,NA,197,NA
162,NA,212,NA,198,NA
163,NA,213,NA,199,NA
164,NA,214,NA,200,NA
165,NA,215,NA,201,NA
166,NA,216,NA,202,NA
167,NA,217,NA,203,NA
168,NA,218,NA,204,NA
169,NA,225,NA,205,NA
170,NA,226,NA,206,NA
171,NA,227,NA,207,NA
172,NA,228,NA,208,NA
173,NA,229,NA,209,NA
174,NA,230,NA,210,NA
175,NA,231,NA,211,NA
176,NA,232,NA,212,NA
177,NA,233,NA,213,NA
178,NA,234,NA,214,NA
179,NA,235,NA,215,NA
180,NA,236,NA,216,NA
181,NA,237,NA,217,NA
182,NA,238,NA,218,NA
183,NA,239,NA,219,NA
184,NA,240,NA,220,NA
185,NA,241,NA,221,NA
186,NA,242,NA,235,NA
187,NA,243,NA,236,NA
188,NA,244,NA,237,NA
189,NA,245,NA,238,NA
190,NA,246,NA,239,NA
191,NA,247,NA,240,NA
192,NA,248,NA,244,NA
193,NA,249,NA,245,NA
194,NA,250,NA,246,NA
195,NA,251,NA,247,NA
196,NA,252,NA,248,NA
197,NA,253,NA,249,NA
198,NA,258,NA,250,NA
199,NA,259,NA,251,NA
200,NA,260,NA,252,NA
203,NA,261,NA,253,NA
204,NA,262,NA,254,NA
205,NA,263,NA,255,NA
206,NA,264,NA,259,NA
207,NA,265,NA,260,NA
208,NA,266,NA,261,NA
209,NA,267,NA,262,NA
210,NA,268,NA,263,NA
211,NA,269,NA,264,NA
212,NA,270,NA,265,NA
213,NA,271,NA,266,NA
214,NA,272,NA,267,NA
215,NA,273,NA,268,NA
216,NA,274,NA,269,NA
217,NA,275,NA,270,NA
218,NA,276,NA,271,NA
219,NA,277,NA,272,NA
244,NA,278,NA,273,NA
245,NA,279,NA,274,NA
246,NA,280,NA,275,NA
247,NA,281,NA,276,NA
248,NA,282,NA,277,NA
249,NA,283,NA,278,NA
250,NA,284,NA,279,NA
251,NA,285,NA,280,NA
252,NA,286,NA,281,NA
253,NA,,,282,NA
256,NA,,,283,NA
257,NA,,,284,NA
259,NA,,,285,NA
260,NA,,,286,NA
261,NA,,,,
262,NA,,,,
263,NA,,,,
264,NA,,,,
265,NA,,,,
266,NA,,,,
267,NA,,,,
268,NA,,,,
269,NA,,,,
270,NA,,,,
271,NA,,,,
272,NA,,,,
273,NA,,,,
274,NA,,,,
275,NA,,,,
276,NA,,,,
277,NA,,,,
278,NA,,,,
279,NA,,,,
280,NA,,,,
281,NA,,,,
282,NA,,,,
283,NA,,,,
284,NA,,,,
285,NA,,,,
286,NA,,,,
