    Year    Month          VRP         EVRP           IV           RV          ERV
    1990        1      35.9054      35.9054      53.5941      17.6888      17.6888
    1990        2      32.9177      15.4100      40.2967       7.3790      24.8867
    1990        3      26.5978      16.1253      32.4394       5.8416      16.3141
    1990        4      26.2753      18.7307      31.7525       5.4773      13.0218
    1990        5      19.2201      12.4986      25.1431       5.9229      12.6445
    1990        6      13.0796       9.4687      20.0208       6.9412      10.5521
    1990        7      26.9870      27.9436      37.1360      10.1490       9.1925
    1990        8      51.0203      58.1919      74.5008      23.4805      16.3089
    1990        9      57.6982      36.3070      70.6160      12.9178      34.3090
    1990       10      52.1602      46.3353      75.2001      23.0400      28.8649
    1990       11      30.4216       6.5449      40.9221      10.5006      34.3772
    1990       12      50.2439      40.2482      57.9920       7.7481      17.7438
    1991        1      19.8734      13.9114      36.4357      16.5623      22.5243
    1991        2      24.7257      18.9937      37.5594      12.8337      18.5657
    1991        3      14.9701       6.2452      23.7445       8.7745      17.4993
    1991        4      18.0895      16.5420      27.7248       9.6353      11.1828
    1991        5      14.6129       8.2646      21.1471       6.5342      12.8825
    1991        6      26.4061      22.4301      31.8502       5.4441       9.4201
    1991        7      12.7010       6.5376      19.2027       6.5017      12.6651
    1991        8       9.5733       8.6834      17.4243       7.8510       8.7409
    1991        9      16.4127      12.2787      20.9352       4.5225       8.6565
    1991       10      15.0544      11.4049      19.9692       4.9148       8.5643
    1991       11      24.8364      25.8198      34.2056       9.3693       8.3858
    1991       12      22.9771      16.0723      31.0730       8.0959      15.0007
    1992        1      17.0722      11.7990      25.2300       8.1578      13.4310
    1992        2      18.2210      11.7332      23.1852       4.9642      11.4520
    1992        3      17.3270      12.3084      21.8160       4.4891       9.5076
    1992        4      13.3759      11.2452      20.0984       6.7225       8.8532
    1992        5      12.2742       6.8744      16.0083       3.7341       9.1339
    1992        6      10.3259       8.2837      14.8519       4.5260       6.5682
    1992        7       9.6272       7.9740      14.4541       4.8269       6.4801
    1992        8      11.7631       8.9072      15.3680       3.6049       6.4609
    1992        9      13.9343      10.6947      16.9932       3.0589       6.2985
    1992       10      14.4022      15.0922      21.7352       7.3330       6.6430
    1992       11      11.2196       4.1723      14.1050       2.8854       9.9327
    1992       12      10.2534       7.5818      13.1671       2.9137       5.5853
    1993        1       9.4876       7.5799      12.8547       3.3671       5.2748
    1993        2       9.3831       9.0879      14.4321       5.0490       5.3442
    1993        3       7.9175       6.5436      13.0834       5.1659       6.5398
    1993        4       8.0936       6.7318      12.8547       4.7611       6.1229
    1993        5      10.7938       9.2332      15.1201       4.3263       5.8869
    1993        6       7.3938       4.0714      10.5656       3.1719       6.4943
    1993        7       8.7477       6.9826      11.4661       2.7184       4.4834
    1993        8       9.4471       7.0863      11.7019       2.2547       4.6156
    1993        9      10.4017       9.5458      14.0617       3.6600       4.5159
    1993       10       8.5069       5.0723      10.9443       2.4374       5.8720
    1993       11      12.1877      11.4508      15.7781       3.5904       4.3273
    1993       12       9.6009       4.8962      11.3296       1.7288       6.4334
    1994        1       7.3580       5.2329       9.4164       2.0584       4.1835
    1994        2      14.4292      14.7705      18.4264       3.9972       3.6560
    1994        3      27.0343      27.3505      34.8502       7.8160       7.4997
    1994        4       8.0452       1.1841      15.8011       7.7559      14.6170
    1994        5       9.6803       6.0854      14.1484       4.4681       8.0630
    1994        6      14.6630      12.4587      18.6751       4.0121       6.2164
    1994        7       7.8015       2.7323      10.3231       2.5216       7.5907
    1994        8       9.0176       7.7930      11.9401       2.9225       4.1471
    1994        9      13.3732      12.1357      16.9932       3.6200       4.8575
    1994       10      12.8008      10.8047      17.6661       4.8654       6.8615
    1994       11      14.5262      13.6232      21.2002       6.6740       7.5770
    1994       12      10.4366       5.0273      14.5200       4.0834       9.4927
    1995        1       9.1658       5.7261      11.9201       2.7543       6.1940
    1995        2       9.4248       6.7200      11.5052       2.0804       4.7852
    1995        3      11.0168      10.5158      14.8964       3.8796       4.3806
    1995        4       8.9891       5.2615      11.5052       2.5161       6.2437
    1995        5       9.2506       9.2100      13.7602       4.5096       4.5502
    1995        6       6.2258       4.6926      10.7920       4.5662       6.0995
    1995        7      10.2589      10.0611      15.1650       4.9061       5.1039
    1995        8       7.4287       4.3238      11.0592       3.6305       6.7354
    1995        9      10.6570       8.6944      13.5256       2.8687       4.8312
    1995       10      11.5482      10.5589      15.9391       4.3909       5.3802
    1995       11       8.5363       4.3745      11.1747       2.6384       6.8002
    1995       12       9.2318       8.5780      13.0625       3.8307       4.4846
    1996        1       6.2807       7.4875      13.0834       6.8027       5.5960
    1996        2      15.4671      17.4366      24.1968       8.7297       6.7602
    1996        3      18.9536      18.3841      29.7045      10.7509      11.3204
