Market,Sector
AP14 Richards Bay,Commodities
API 8 South China Coal,Commodities
API2 Coal,Commodities
AUD,Currency
Amsterdam Exchange,Equity
BEL 20,Equity
BRL,Currency
BRL/USD,Currency
Brent Crude,Commodities
Butter,Commodities
CAC 40 ,Equity
CAD,Currency
CAD/USD,Currency
CHF,Currency
CNY,Currency
Canadian 10 Year,Fixed Income
Canadian Bankers Acceptance,Fixed Income
Canola,Commodities
Cheese,Commodities
Cocoa,Commodities
Commodities Index,Commodities
Copper,Commodities
Corn,Commodities
Cotton,Commodities
Crude,Commodities
DAX,Equity
DKK,Currency
Dow Jones,Equity
EUR,Currency
Ethanol,Commodities
Ethanol (Chicago),Commodities
Ethanol (Chicago2),Commodities
EuroStoxx 50,Equity
EuroSwiss,Fixed Income
Eurodollar,Fixed Income
European 3.5% Fuel Oil Barges,Commodities
Euroyen,Fixed Income
FTSE 100,Equity
FTSE A50 Index,Equity
Federal Funds,Fixed Income
Feeder Cattle,Commodities
French 10 year,Fixed Income
GBP,Currency
GBP/USD,Currency
Gas Oil,Commodities
German Bobl,Fixed Income
German Bund,Fixed Income
German Buxl,Fixed Income
German Schatz,Fixed Income
Gilts,Fixed Income
Gold,Commodities
HKD,Currency
Hang Seng,Equity
Heating Oil,Commodities
INR,Currency
Ibovespa,Equity
Italian 10 year bonds,Fixed Income
Italian 2 year bonds,Fixed Income
JPY,Currency
KRW,Currency
LKR,Currency
Learn Hog,Commodities
Live Cattle,Commodities
Lumber,Commodities
MXN,Currency
MYR,Currency
Milk,Commodities
Milk Class 3,Commodities
Milling Wheat,Commodities
NOK,Currency
NZD,Currency
Nasdaq,Equity
Natural Gas,Commodities
Natural Gas (HH),Commodities
New Zealand Dollar,
Newcastle Coal,Commodities
Nifty (SIMEX),Equity
Nikkei 225,Equity
OMX ,Equity
Oats,Commodities
Orange Juice,Commodities
Palladium,Commodities
Platinum,Commodities
Portugal,Equity
RBOB Gasoline,Commodities
Richards Bay Coal,Commodities
Robusta Coffee,Commodities
Rotterdam Coal,Commodities
Rough Rice,Commodities
Russell 2000,Equity
Russian Ruble,Currency
S&P / TSX 60,Equity
S&P 500,Equity
S&P MidCap 400,Equity
SEK,Currency
SGD,Currency
SMI,Currency
Shanghai  Rebar,Commodities
Short Sterling,Fixed Income
Silver,Commodities
Singapore 180,Commodities
Singapore 380,Commodities
Soybean,Commodities
Soybean Meal,Commodities
Soybean Oil,Commodities
Sugar,Commodities
THB,Currency
TWD,Currency
Taiwan (SIMEX),Equity
TecDAX,Equity
Termal Coal,Commodities
UK Natural Gas,Commodities
US Treasuries 10 Yr,Fixed Income
US Treasuries 2 Yr,Fixed Income
US Treasuries 5 Yr,Fixed Income
VEF,Equity
Vstoxx,Equity
WTI Crude,Commodities
Wheat,Commodities
White Sugar,Commodities
ZAR,Currency
